scenario_id,terrain_type,response_budget,advantage,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_quality_spread,n_pareto_optimal
air-defense-121,air_defense,8,0.4718563518973671,0.3345745924105316,0.665,0.5845238095238096,0.30234912619564136,3
air-defense-121,air_defense,16,0.4718563518973671,0.3345745924105316,0.665,0.6009722222222221,0.330244977302749,3
humanitarian-evacuation-122,urban_humanitarian,1,0.48234975382173306,0.2696009847130678,0.635,0.0,0.0,1
humanitarian-evacuation-122,urban_humanitarian,2,0.48234975382173306,0.2696009847130678,0.635,0.6,0.18776897543458942,2
humanitarian-evacuation-122,urban_humanitarian,4,0.47307002615821253,0.30671989536714994,1.0,0.5888888888888889,0.22488788608867155,1
humanitarian-evacuation-122,urban_humanitarian,8,0.47307002615821253,0.30671989536714994,1.0,0.6238095238095239,0.32903102007692464,1
humanitarian-evacuation-122,urban_humanitarian,16,0.461214371795006,0.354142512819976,0.9550000000000001,0.6009722222222221,0.3764536375297507,2
urban-121,urban,1,0.5036142616566364,0.16204971535134371,0.59,0.0,0.0,1
urban-121,urban,2,0.5036142616566364,0.16204971535134371,0.59,0.5,0.07185542984020626,1
urban-121,urban,4,0.46724067462377156,0.30754406348280283,0.77,0.8055555555555557,0.21734977797166538,1
urban-121,urban,8,0.46724067462377156,0.30754406348280283,0.77,0.767857142857143,0.3022897371800536,1
urban-121,urban,16,0.46724067462377156,0.30754406348280283,0.77,0.7847222222222225,0.3022897371800536,1
maritime-122,maritime,1,0.4978886173028883,0.24044553078844672,0.44,0.0,0.0,1
maritime-122,maritime,2,0.46727870958271267,0.3628851616691492,0.805,0.5,0.12243963088070248,1
maritime-122,maritime,4,0.46727870958271267,0.3628851616691492,0.805,0.763888888888889,0.30449458221371783,1
maritime-122,maritime,8,0.46727870958271267,0.3628851616691492,0.805,0.7315476190476192,0.30449458221371783,1
maritime-122,maritime,16,0.46727870958271267,0.3628851616691492,0.805,0.7024999999999992,0.4100351895736567,1
multi-domain-123,mixed,1,0.4986499392756598,0.24044553078844672,0.44,0.0,0.0,1
multi-domain-123,mixed,2,0.4680400315554842,0.3628851616691492,0.805,0.5,0.12243963088070248,1
multi-domain-123,mixed,4,0.4680400315554842,0.3628851616691492,0.805,0.763888888888889,0.30449458221371783,1
multi-domain-123,mixed,8,0.4680400315554842,0.3628851616691492,0.805,0.7315476190476192,0.30449458221371783,1
multi-domain-123,mixed,16,0.4680400315554842,0.3628851616691492,0.805,0.7024999999999992,0.4100351895736567,1
air-defense-124,air_defense,1,0.559667088973934,-0.016668355895736127,0.665,0.0,0.0,1
air-defense-124,air_defense,2,0.4809627769313459,0.29814889227461644,0.665,0.6,0.31481724817035256,1
air-defense-124,air_defense,4,0.4809627769313459,0.29814889227461644,0.665,0.4166666666666667,0.31481724817035256,2
air-defense-124,air_defense,8,0.4809627769313459,0.29814889227461644,0.665,0.5928571428571429,0.31481724817035256,3
air-defense-124,air_defense,16,0.4801735085180646,0.30130596592774145,0.625,0.6379166666666666,0.3463042256025275,4
humanitarian-evacuation-125,urban_humanitarian,1,0.47954356896410844,0.2808257241435664,1.0,0.0,0.0,1
humanitarian-evacuation-125,urban_humanitarian,2,0.47954356896410844,0.2808257241435664,1.0,0.6666666666666667,0.09318636067657515,1
humanitarian-evacuation-125,urban_humanitarian,4,0.47954356896410844,0.2808257241435664,1.0,0.6722222222222222,0.20478343940935162,1
humanitarian-evacuation-125,urban_humanitarian,8,0.47954356896410844,0.2808257241435664,1.0,0.5279761904761905,0.20478343940935162,1
humanitarian-evacuation-125,urban_humanitarian,16,0.4696688752725976,0.3203244989096097,0.815,0.5295833333333333,0.27355266261068134,2
urban-124,urban,1,0.5283949094495373,0.02413269853470809,0.545,0.0,0.0,1
urban-124,urban,2,0.4672434194700898,0.26873865845249795,0.73,1.0,0.24460595991778986,1
urban-124,urban,4,0.4672434194700898,0.26873865845249795,0.73,0.9444444444444445,0.24460595991778986,2
urban-124,urban,8,0.45985871074047174,0.29827749337097026,0.725,0.8511904761904764,0.2741447948362622,4
urban-124,urban,16,0.449853638556135,0.3382977821083172,0.73,0.8013888888888893,0.3363812093917085,3
maritime-125,maritime,1,0.5148412709490842,0.17263491620366328,0.44,0.0,0.0,1
maritime-125,maritime,2,0.49207321075331123,0.263707156986755,0.805,0.6666666666666667,0.09107224078309173,1
maritime-125,maritime,4,0.49207321075331123,0.263707156986755,0.805,0.6944444444444445,0.12247117531824137,1
maritime-125,maritime,8,0.491314908971798,0.2667403641128079,0.805,0.7494047619047619,0.20943932450514752,1
maritime-125,maritime,16,0.4891888407050811,0.27524463717967557,0.805,0.7055555555555553,0.2432828340645695,1
multi-domain-126,mixed,1,0.528175860242456,0.17263491620366328,0.44,0.0,0.0,1
multi-domain-126,mixed,2,0.5054078000466831,0.263707156986755,0.805,0.6666666666666667,0.09107224078309173,1
multi-domain-126,mixed,4,0.5054078000466831,0.263707156986755,0.805,0.6944444444444445,0.12247117531824137,1
multi-domain-126,mixed,8,0.5046494982651698,0.2667403641128079,0.805,0.7494047619047619,0.20943932450514752,1
multi-domain-126,mixed,16,0.5025234299984529,0.27524463717967557,0.805,0.7055555555555553,0.2432828340645695,1
